date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:46	46/46	---MC-	302	error ('Found')	text/html	date:Fri,%2014%20Jul%202023%2011:27:45%20GMT	https://mysticdev.us/robots.txt		(from )
05:27:47	4162/4162	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2011:27:46%20GMT	https://mysticdev.us/	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/mysticdev.us/index.html	(from )
05:27:47	11642/11642	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Jul%202023%2011:27:47%20GMT	https://kit.fontawesome.com/cc95a7d932.js	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/kit.fontawesome.com/cc95a7d932.js	(from https://mysticdev.us/)
05:27:48	31240/31240	---M-Z	200	added ('OK')	text/css	etag:W/%227a08-GAukVXl4Oi44Tpj4w8VOEfgRHAs%22	https://cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	(from https://mysticdev.us/)
05:27:48	43756/43756	---M-Z	200	added ('OK')	application/javascript	etag:W/%22aaec-ZGg/bVdCI27OBtyNsqr6h65B6DI%22	https://cdn.jsdelivr.net/npm/sweetalert2@11/dist/sweetalert2.min.js	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/cdn.jsdelivr.net/npm/sweetalert2@11/dist/sweetalert2.min.js	(from https://mysticdev.us/)
05:27:48	46/46	---MC-	302	error ('Found')	text/html	date:Fri,%2014%20Jul%202023%2011:27:48%20GMT	https://mysticdev.us/@sweetalert2/themes/dark/dark.css	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/mysticdev.us/@sweetalert2/themes/dark/dark.css	(from https://mysticdev.us/)
05:27:49	46/46	---MC-	302	error ('Found')	text/html	date:Fri,%2014%20Jul%202023%2011:27:48%20GMT	https://mysticdev.us/sweetalert2/dist/sweetalert2.min.js	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/mysticdev.us/sweetalert2/dist/sweetalert2.min.js	(from https://mysticdev.us/)
05:27:49	523/523	---MCZ	200	added ('OK')	text/css	etag:W/%2220b-187d8a041d0%22	https://mysticdev.us/styles/styles.css	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/mysticdev.us/styles/styles.css	(from https://mysticdev.us/)
05:27:49	318923/318923	---M--	200	added ('OK')	image/png	etag:W/%224ddcb-186c7187410%22	https://mysticdev.us/img/logo.png	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/mysticdev.us/img/logo.png	(from https://mysticdev.us/)
05:27:50	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2014%20Jul%202023%2011:27:49%20GMT	https://mysticdev.us/login	C:/Users/vixey/Desktop/Brekkans'%20Crap/titties/mysticdev.us/login.7.delayed	(from https://mysticdev.us/)
